                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6638,                0.76009,                 1.0468,                 1.9291,                0.81857,                 1.0098,                0.86164,                0.82356,                0.88116,                0.42279,                 1.6658,                0.71907,                 1.0254,                 1.8318,                0.72062,                  1.025,               0.009274,               0.009274,               0.009274
                     25,                 1.6724,                 0.7589,                 1.0473,                 1.9399,                0.81279,                 1.0106,                0.86836,                0.82615,                0.88437,                0.42256,                  1.671,                0.71299,                 1.0258,                 1.8324,                0.70209,                 1.0249,               0.009241,               0.009241,               0.009241
                     26,                 1.6604,                0.74912,                 1.0419,                 1.9276,                0.79938,                 1.0024,                0.86583,                0.83402,                0.88634,                0.42151,                 1.6672,                0.71842,                 1.0276,                 1.8294,                0.71177,                 1.0256,               0.009208,               0.009208,               0.009208
                     27,                 1.6573,                0.75451,                 1.0441,                 1.9283,                0.81072,                 1.0074,                0.87052,                0.82878,                 0.8842,                0.42933,                 1.6537,                0.71258,                 1.0245,                 1.8121,                0.69955,                 1.0232,               0.009175,               0.009175,               0.009175
                     28,                 1.6469,                0.74397,                 1.0477,                 1.9146,                0.80167,                 1.0126,                0.86639,                 0.8324,                0.88839,                0.42962,                 1.6482,                0.70631,                  1.022,                 1.8053,                0.70613,                 1.0232,               0.009142,               0.009142,               0.009142
                     29,                 1.6436,                0.74064,                 1.0426,                 1.9124,                 0.7923,                 1.0071,                0.87479,                0.83381,                0.89213,                0.42654,                 1.6564,                0.69765,                 1.0203,                 1.8182,                0.68937,                 1.0211,               0.009109,               0.009109,               0.009109
                     30,                 1.6417,                0.74197,                 1.0428,                 1.9054,                0.78542,                  1.008,                0.87114,                0.83211,                0.88869,                0.43006,                 1.6509,                0.70381,                 1.0228,                 1.8085,                0.69646,                 1.0214,               0.009076,               0.009076,               0.009076
                     31,                 1.6323,                0.73882,                 1.0449,                 1.9008,                0.78326,                 1.0103,                0.87795,                0.83251,                0.89096,                0.42683,                 1.6727,                0.70164,                 1.0255,                 1.8239,                0.68909,                 1.0256,               0.009043,               0.009043,               0.009043
                     32,                 1.6544,                0.74512,                 1.0376,                 1.9268,                0.79832,                 1.0002,                0.87378,                0.83244,                0.89254,                 0.4297,                 1.6548,                0.70578,                   1.02,                 1.8156,                0.69454,                 1.0187,                0.00901,                0.00901,                0.00901
                     33,                  1.636,                0.73604,                 1.0378,                 1.8982,                0.77979,                 1.0002,                0.87058,                0.83736,                0.88992,                0.42706,                 1.6681,                0.69783,                 1.0249,                 1.8298,                0.69631,                 1.0223,               0.008977,               0.008977,               0.008977
                     34,                 1.6302,                0.73877,                 1.0443,                 1.8973,                0.78184,                  1.006,                0.87432,                0.83383,                0.89129,                0.43045,                 1.6438,                 0.7019,                 1.0154,                 1.8039,                0.68485,                 1.0117,               0.008944,               0.008944,               0.008944
