                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.5236,                0.65872,                  1.006,                 1.7873,                0.68036,                0.97457,                0.89736,                0.86787,                0.91606,                0.45727,                 1.5955,                0.63632,                 1.0023,                 1.7567,                 0.6121,                 0.9983,               0.006931,               0.006931,               0.006931
                     96,                 1.5216,                0.65637,                 1.0042,                 1.7876,                0.68261,                0.97276,                0.89934,                0.86887,                0.91808,                0.46176,                 1.5903,                 0.6361,                 1.0026,                 1.7498,                0.60467,                0.99774,               0.006898,               0.006898,               0.006898
                     97,                 1.5253,                0.65212,                 1.0003,                 1.7964,                0.67369,                0.96795,                0.89671,                0.87059,                0.91737,                 0.4597,                 1.6015,                0.63612,                 1.0056,                  1.762,                0.60847,                 1.0015,               0.006865,               0.006865,               0.006865
                     98,                 1.5205,                 0.6547,                 1.0062,                  1.787,                0.67289,                0.97516,                0.89439,                0.86891,                 0.9161,                0.45557,                 1.6137,                0.63781,                 1.0091,                 1.7784,                0.61239,                 1.0058,               0.006832,               0.006832,               0.006832
                     99,                 1.5238,                0.65691,                 1.0036,                 1.7901,                0.67619,                0.97336,                 0.8977,                0.87026,                0.91669,                0.45697,                  1.609,                0.63913,                 1.0066,                 1.7679,                 0.6086,                 1.0018,               0.006799,               0.006799,               0.006799
                    100,                 1.5229,                0.65309,                 1.0033,                 1.7897,                0.67638,                0.97115,                0.89908,                0.86895,                0.91618,                0.45734,                 1.6027,                0.63682,                  1.004,                 1.7676,                0.60924,                  1.002,               0.006766,               0.006766,               0.006766
                    101,                 1.5255,                0.65722,                 1.0015,                 1.7969,                0.67629,                 0.9721,                0.89365,                0.86505,                0.91463,                0.45461,                 1.6218,                0.64467,                 1.0109,                 1.7845,                0.61678,                 1.0079,               0.006733,               0.006733,               0.006733
                    102,                 1.5305,                0.66182,                  1.006,                 1.7984,                0.68412,                0.97306,                0.89724,                0.87203,                0.91938,                0.45644,                 1.6084,                 0.6355,                 1.0052,                 1.7696,                0.60766,                 1.0028,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.5165,                 0.6528,                 1.0009,                 1.7811,                0.67432,                0.96934,                 0.8982,                0.86878,                0.91889,                0.45985,                 1.6029,                 0.6359,                 1.0033,                 1.7656,                0.60839,                 1.0007,               0.006667,               0.006667,               0.006667
                    104,                 1.5095,                0.64846,                0.99622,                 1.7783,                0.66835,                0.96664,                0.89496,                0.86951,                0.91549,                0.45403,                 1.6261,                0.63949,                 1.0104,                 1.7866,                0.61609,                 1.0077,               0.006634,               0.006634,               0.006634
                    105,                 1.5032,                0.64729,                 1.0053,                  1.763,                0.66787,                 0.9763,                0.89942,                0.86858,                0.91732,                0.45769,                 1.6094,                0.63629,                  1.006,                 1.7703,                 0.6087,                 1.0029,               0.006601,               0.006601,               0.006601
                    106,                 1.5064,                0.64602,                 1.0031,                 1.7691,                0.66416,                0.97242,                0.89765,                0.86936,                0.91852,                0.45757,                 1.6107,                0.63795,                 1.0062,                 1.7717,                0.61032,                 1.0021,               0.006568,               0.006568,               0.006568
                    107,                 1.5178,                0.65377,                 1.0038,                 1.7847,                0.67243,                0.97151,                0.89548,                0.86907,                0.91746,                0.45984,                 1.5971,                0.63745,                 1.0028,                 1.7578,                0.61058,                0.99854,               0.006535,               0.006535,               0.006535
                    108,                 1.5108,                 0.6453,                  1.002,                 1.7831,                0.66803,                0.96934,                0.89803,                0.87384,                0.91887,                0.46182,                 1.5946,                0.63205,                  1.002,                 1.7535,                0.60836,                0.99632,               0.006502,               0.006502,               0.006502
                    109,                 1.5165,                0.65501,                 1.0005,                  1.783,                0.67401,                 0.9678,                0.89784,                0.86611,                0.91678,                0.45916,                  1.606,                0.63722,                 1.0065,                 1.7656,                0.61027,                 1.0006,               0.006469,               0.006469,               0.006469
                    110,                 1.5187,                0.65336,                0.99975,                 1.7863,                0.67185,                0.96691,                0.89922,                0.86775,                 0.9167,                 0.4572,                 1.6067,                0.63413,                 1.0064,                 1.7684,                0.60735,                 1.0006,               0.006436,               0.006436,               0.006436
                    111,                  1.515,                 0.6497,                0.99826,                 1.7861,                0.66662,                0.96714,                0.89961,                 0.8719,                0.91877,                0.46026,                 1.5978,                0.63247,                 1.0032,                 1.7607,                0.60213,                0.99854,               0.006403,               0.006403,               0.006403
                    112,                 1.5153,                0.64803,                0.99987,                 1.7856,                0.66522,                0.96786,                 0.8991,                 0.8696,                0.91855,                0.45815,                 1.6097,                0.63415,                 1.0059,                 1.7708,                0.61069,                 1.0013,                0.00637,                0.00637,                0.00637
                    113,                 1.5024,                 0.6466,                0.99777,                 1.7714,                0.66448,                0.96638,                0.89815,                0.87213,                0.91894,                 0.4604,                 1.5996,                0.63192,                 1.0035,                 1.7591,                0.60534,                0.99719,               0.006337,               0.006337,               0.006337
                    114,                 1.5122,                0.64723,                0.99652,                 1.7855,                 0.6658,                0.96543,                0.89727,                0.87096,                 0.9192,                0.46028,                 1.6015,                0.63218,                 1.0037,                 1.7632,                0.60129,                0.99913,               0.006304,               0.006304,               0.006304
                    115,                 1.5029,                0.64455,                0.99929,                 1.7683,                0.66254,                0.96903,                0.90145,                0.87151,                0.91991,                0.46077,                 1.5987,                0.63058,                 1.0022,                 1.7594,                0.60373,                0.99774,               0.006271,               0.006271,               0.006271
                    116,                 1.5033,                0.64513,                0.99308,                 1.7742,                0.66549,                0.96296,                0.90077,                0.87014,                0.92162,                0.46333,                 1.5927,                0.62877,                 1.0015,                 1.7549,                    0.6,                0.99735,               0.006238,               0.006238,               0.006238
                    117,                 1.5077,                0.64093,                 1.0015,                 1.7739,                0.66316,                0.97019,                0.89908,                0.87273,                0.92007,                 0.4637,                 1.5941,                0.62618,                 1.0029,                 1.7518,                0.60138,                0.99755,               0.006205,               0.006205,               0.006205
                    118,                 1.5055,                0.64524,                 1.0012,                 1.7728,                0.66717,                0.96871,                0.89747,                0.86604,                0.91656,                0.45581,                 1.6219,                 0.6346,                  1.012,                 1.7835,                0.61227,                 1.0079,               0.006172,               0.006172,               0.006172
                    119,                 1.5079,                0.65253,                 1.0036,                 1.7721,                0.66704,                0.97109,                 0.9005,                0.86763,                0.91918,                0.46259,                 1.5917,                0.63003,                 1.0018,                 1.7519,                0.60333,                0.99696,               0.006139,               0.006139,               0.006139
                    120,                 1.5008,                0.64377,                0.99581,                 1.7713,                0.66223,                0.96398,                0.89782,                 0.8751,                0.91958,                0.46119,                 1.6001,                0.63028,                 1.0043,                 1.7611,                0.60504,                0.99937,               0.006106,               0.006106,               0.006106
                    121,                  1.504,                0.63984,                0.99783,                 1.7655,                0.65822,                 0.9678,                 0.8985,                  0.874,                 0.9202,                0.46273,                 1.5964,                0.62769,                 1.0031,                 1.7566,                 0.6009,                0.99908,               0.006073,               0.006073,               0.006073
                    122,                 1.4984,                0.64366,                0.99618,                  1.766,                0.65659,                0.96526,                0.90152,                0.87043,                0.91988,                0.46287,                 1.5933,                0.62876,                 1.0012,                 1.7542,                0.60067,                0.99585,                0.00604,                0.00604,                0.00604
                    123,                 1.4979,                0.63933,                 1.0002,                 1.7589,                0.65306,                0.96965,                0.90194,                   0.87,                0.92042,                0.46295,                 1.5925,                0.62673,                 1.0017,                 1.7545,                0.60084,                0.99719,               0.006007,               0.006007,               0.006007
                    124,                 1.4984,                0.63975,                0.99986,                 1.7665,                0.65824,                0.96669,                0.89912,                 0.8741,                0.92006,                 0.4634,                 1.5988,                0.62621,                 1.0041,                 1.7587,                0.60019,                0.99856,               0.005974,               0.005974,               0.005974
                    125,                 1.4942,                0.64069,                0.99683,                 1.7614,                0.65692,                0.96645,                0.89941,                0.87211,                0.92074,                0.46338,                 1.5931,                0.62682,                 1.0011,                 1.7518,                0.60143,                0.99505,               0.005941,               0.005941,               0.005941
                    126,                 1.4962,                0.63734,                 1.0007,                 1.7639,                0.65724,                0.97063,                0.90019,                0.87232,                0.92049,                0.46778,                 1.5756,                0.62161,                 0.9969,                 1.7322,                 0.5974,                0.99106,               0.005908,               0.005908,               0.005908
                    127,                 1.4932,                0.63987,                0.99526,                  1.756,                 0.6512,                0.96594,                0.89813,                0.87736,                0.92208,                 0.4661,                 1.5861,                 0.6245,                0.99858,                 1.7438,                0.59403,                0.99349,               0.005875,               0.005875,               0.005875
                    128,                 1.4882,                0.64088,                0.99753,                 1.7572,                0.66104,                0.96712,                0.90024,                0.87638,                0.92218,                 0.4646,                 1.5881,                0.62371,                 0.9991,                 1.7447,                0.59618,                0.99344,               0.005842,               0.005842,               0.005842
                    129,                  1.498,                0.63666,                0.99561,                 1.7661,                0.65322,                0.96509,                0.89617,                0.87322,                0.91945,                0.46023,                 1.6068,                0.62711,                 1.0066,                 1.7668,                0.60412,                 1.0003,               0.005809,               0.005809,               0.005809
                    130,                 1.4918,                 0.6376,                0.99286,                 1.7626,                0.65854,                0.96217,                0.89987,                0.87388,                0.92063,                0.46287,                  1.599,                0.62454,                 1.0036,                   1.76,                0.59799,                 0.9981,               0.005776,               0.005776,               0.005776
                    131,                 1.4858,                0.63058,                0.99274,                 1.7566,                0.64952,                0.96211,                 0.9006,                0.87811,                0.92227,                0.46499,                 1.5928,                0.62388,                 1.0025,                 1.7505,                0.59591,                  0.996,               0.005743,               0.005743,               0.005743
                    132,                 1.4862,                0.63144,                 0.9944,                 1.7518,                0.64875,                0.96465,                0.90115,                0.87609,                0.92229,                0.46494,                 1.5963,                0.62363,                 1.0028,                 1.7557,                0.59559,                0.99745,                0.00571,                0.00571,                0.00571
                    133,                 1.5027,                0.64012,                0.99475,                 1.7709,                 0.6566,                0.96605,                0.90111,                0.87605,                0.92347,                0.46541,                 1.5915,                0.62307,                 1.0011,                 1.7502,                0.59596,                0.99639,               0.005677,               0.005677,               0.005677
                    134,                 1.4862,                0.63398,                0.99162,                 1.7504,                0.64912,                0.96332,                0.90356,                0.87305,                0.92287,                0.46617,                 1.5871,                0.62155,                0.99908,                 1.7448,                0.59705,                0.99338,               0.005644,               0.005644,               0.005644
                    135,                 1.4865,                0.62871,                0.99133,                 1.7532,                0.64619,                0.96378,                0.90279,                0.87576,                0.92363,                0.46709,                 1.5857,                0.62095,                0.99931,                 1.7453,                0.59301,                0.99393,               0.005611,               0.005611,               0.005611
                    136,                 1.4903,                0.63266,                0.99408,                 1.7581,                0.65069,                0.96363,                 0.9027,                0.87646,                0.92261,                0.46512,                 1.5922,                0.62282,                 1.0019,                 1.7524,                0.59825,                0.99624,               0.005578,               0.005578,               0.005578
                    137,                 1.4894,                0.63551,                0.99215,                 1.7648,                0.65583,                0.96274,                0.90369,                0.87396,                0.92226,                0.46529,                 1.5888,                 0.6225,                 1.0003,                 1.7473,                0.59729,                0.99507,               0.005545,               0.005545,               0.005545
                    138,                 1.4929,                0.63387,                0.99307,                 1.7616,                0.65185,                0.96423,                0.90198,                0.87602,                0.92186,                0.46398,                 1.5908,                0.62281,                 1.0013,                 1.7515,                0.59613,                0.99676,               0.005512,               0.005512,               0.005512
                    139,                 1.4904,                0.63312,                0.98906,                 1.7591,                0.65118,                0.96078,                0.90139,                0.87506,                0.92239,                0.46491,                  1.591,                0.62186,                 1.0005,                 1.7494,                0.59417,                0.99569,               0.005479,               0.005479,               0.005479
                    140,                 1.4912,                0.63497,                0.99063,                 1.7613,                 0.6577,                0.95982,                0.90172,                0.87474,                0.92278,                0.46479,                 1.5912,                0.62174,                 1.0015,                 1.7483,                0.59515,                 0.9968,               0.005446,               0.005446,               0.005446
                    141,                 1.4837,                0.62848,                0.99726,                 1.7481,                0.64857,                0.96846,                0.90068,                0.87461,                0.92092,                0.46593,                 1.5854,                0.62244,                 1.0006,                 1.7404,                 0.5964,                0.99568,               0.005413,               0.005413,               0.005413
                    142,                 1.4902,                0.63325,                0.99155,                 1.7577,                0.65271,                0.95989,                0.90033,                0.87663,                0.92248,                  0.466,                 1.5902,                0.62116,                 1.0014,                 1.7471,                0.59398,                0.99635,                0.00538,                0.00538,                0.00538
                    143,                 1.4738,                0.62376,                0.99336,                 1.7387,                0.63886,                0.96452,                0.90183,                0.87526,                0.92192,                0.46589,                 1.5878,                0.61894,                 1.0009,                 1.7467,                0.59317,                0.99527,               0.005347,               0.005347,               0.005347
                    144,                 1.4754,                0.62428,                 0.9911,                 1.7432,                0.64584,                0.96228,                0.90248,                0.87425,                0.92188,                0.46606,                 1.5868,                0.61966,                0.99914,                 1.7446,                0.59671,                0.99395,               0.005314,               0.005314,               0.005314
                    145,                 1.4837,                 0.6297,                0.99084,                 1.7527,                 0.6495,                 0.9642,                 0.8998,                0.87568,                0.92179,                0.46581,                 1.5878,                0.62065,                      1,                 1.7461,                0.59577,                0.99494,               0.005281,               0.005281,               0.005281
                    146,                  1.473,                0.62269,                 0.9894,                 1.7372,                 0.6446,                0.96199,                 0.8984,                0.87558,                0.92125,                0.46556,                  1.591,                 0.6217,                 1.0008,                 1.7474,                0.59708,                0.99523,               0.005248,               0.005248,               0.005248
                    147,                 1.4813,                0.62941,                0.98925,                 1.7523,                0.65107,                0.95965,                0.90062,                0.87353,                0.92135,                0.46576,                 1.5886,                0.62121,                 1.0002,                 1.7467,                0.59858,                0.99521,               0.005215,               0.005215,               0.005215
                    148,                 1.4769,                0.63354,                0.98979,                   1.75,                0.65752,                0.96102,                0.90181,                0.87401,                0.92189,                0.46539,                 1.5881,                0.61962,                0.99992,                 1.7444,                0.59653,                 0.9952,               0.005182,               0.005182,               0.005182
                    149,                 1.4808,                0.62947,                0.98676,                 1.7499,                0.64748,                0.95888,                0.89979,                0.87655,                0.92248,                0.46565,                 1.5894,                0.61849,                 1.0008,                 1.7453,                 0.5955,                0.99658,               0.005149,               0.005149,               0.005149
                    150,                 1.4658,                0.62155,                0.98618,                 1.7381,                0.64063,                0.95805,                0.89722,                0.87691,                0.92195,                0.46516,                 1.5917,                0.61899,                  1.001,                 1.7504,                 0.5942,                 0.9968,               0.005116,               0.005116,               0.005116
                    151,                 1.4641,                0.61992,                0.98985,                 1.7351,                0.63998,                 0.9615,                0.90196,                0.87544,                0.92245,                0.46652,                 1.5875,                0.61769,                0.99949,                 1.7447,                0.59292,                0.99501,               0.005083,               0.005083,               0.005083
                    152,                 1.4826,                 0.6299,                0.98705,                 1.7488,                0.64697,                0.95981,                0.90251,                0.87388,                0.92243,                0.46708,                 1.5852,                0.61689,                0.99871,                 1.7451,                0.58915,                0.99449,                0.00505,                0.00505,                0.00505
                    153,                  1.472,                0.62264,                0.98812,                 1.7466,                0.64537,                0.95969,                0.90014,                0.87735,                0.92249,                0.46681,                 1.5856,                0.61716,                0.99946,                 1.7451,                0.58963,                0.99615,               0.005017,               0.005017,               0.005017
                    154,                 1.4706,                0.62735,                 0.9875,                 1.7429,                 0.6505,                0.95968,                0.90236,                0.87756,                0.92339,                0.46672,                 1.5896,                0.61699,                0.99962,                 1.7477,                0.59327,                0.99522,               0.004984,               0.004984,               0.004984
                    155,                 1.4749,                0.62502,                0.98644,                 1.7454,                0.64633,                 0.9579,                 0.9047,                0.87778,                0.92439,                0.46737,                 1.5851,                0.61575,                0.99867,                 1.7432,                0.58934,                0.99398,               0.004951,               0.004951,               0.004951
                    156,                 1.4677,                0.61923,                 0.9867,                 1.7372,                0.64051,                0.96027,                0.90214,                0.87811,                0.92329,                0.46873,                 1.5815,                0.61463,                0.99787,                 1.7387,                0.58944,                0.99331,               0.004918,               0.004918,               0.004918
                    157,                 1.4668,                0.62008,                0.98623,                 1.7344,                0.64187,                0.95834,                0.90281,                0.87449,                0.92248,                0.46536,                 1.5928,                0.61725,                 1.0014,                 1.7507,                0.59266,                0.99705,               0.004885,               0.004885,               0.004885
                    158,                 1.4703,                0.62167,                0.98443,                  1.746,                0.64736,                0.95661,                0.90138,                0.87762,                0.92273,                0.46545,                 1.5933,                0.61737,                 1.0003,                 1.7529,                0.59321,                0.99656,               0.004852,               0.004852,               0.004852
                    159,                 1.4744,                0.62059,                0.98757,                 1.7456,                0.64106,                0.95808,                0.90264,                 0.8761,                0.92237,                0.46578,                 1.5912,                0.61597,                 1.0004,                 1.7508,                0.59192,                0.99639,               0.004819,               0.004819,               0.004819
                    160,                 1.4749,                0.62242,                0.98458,                 1.7473,                0.63742,                0.95948,                0.90364,                0.87745,                0.92333,                 0.4667,                 1.5867,                0.61531,                0.99828,                 1.7467,                0.59096,                0.99454,               0.004786,               0.004786,               0.004786
                    161,                 1.4744,                0.62135,                0.98625,                 1.7475,                0.64314,                0.95786,                0.90127,                0.87548,                0.92286,                0.46627,                 1.5896,                0.61617,                0.99967,                 1.7495,                0.59333,                0.99562,               0.004753,               0.004753,               0.004753
                    162,                 1.4719,                0.61979,                0.98511,                 1.7407,                0.63725,                 0.9566,                0.90239,                0.87663,                0.92287,                0.46607,                 1.5919,                0.61709,                 1.0011,                 1.7505,                0.59481,                0.99626,                0.00472,                0.00472,                0.00472
                    163,                 1.4636,                0.61867,                0.98373,                 1.7343,                0.63729,                0.95674,                0.90199,                0.87766,                 0.9237,                0.46869,                  1.583,                0.61597,                 0.9983,                 1.7399,                0.59052,                0.99317,               0.004687,               0.004687,               0.004687
                    164,                  1.464,                0.61572,                0.98795,                 1.7312,                 0.6329,                0.96087,                0.90266,                0.87783,                0.92376,                0.46794,                 1.5859,                0.61593,                0.99926,                 1.7425,                0.59245,                0.99406,               0.004654,               0.004654,               0.004654
                    165,                 1.4621,                 0.6131,                0.98421,                 1.7292,                0.63191,                0.95862,                0.90499,                0.87638,                0.92396,                0.46807,                 1.5868,                0.61525,                0.99895,                  1.745,                0.58962,                0.99543,               0.004621,               0.004621,               0.004621
                    166,                 1.4619,                0.61533,                0.98233,                 1.7348,                0.63002,                0.95692,                0.90301,                0.87704,                0.92309,                0.46793,                 1.5884,                0.61579,                0.99946,                 1.7457,                0.59163,                0.99505,               0.004588,               0.004588,               0.004588
                    167,                 1.4583,                0.61917,                0.98191,                 1.7305,                0.63606,                0.95631,                0.90505,                0.87601,                 0.9237,                0.46842,                 1.5832,                0.61481,                0.99852,                 1.7409,                0.59086,                0.99409,               0.004555,               0.004555,               0.004555
                    168,                 1.4582,                0.61195,                0.98326,                 1.7328,                0.63446,                0.95566,                0.90146,                0.87916,                0.92382,                0.46822,                 1.5849,                0.61453,                0.99843,                 1.7427,                0.59014,                0.99415,               0.004522,               0.004522,               0.004522
                    169,                 1.4543,                0.61222,                0.98404,                 1.7175,                0.63051,                0.95703,                0.90339,                0.87864,                0.92322,                0.46794,                 1.5862,                0.61353,                0.99956,                 1.7449,                0.58988,                0.99555,               0.004489,               0.004489,               0.004489
                    170,                 1.4579,                 0.6119,                0.98177,                  1.735,                0.63406,                0.95423,                0.90416,                0.88036,                0.92426,                0.46741,                 1.5878,                0.61385,                0.99995,                 1.7465,                0.59015,                 0.9961,               0.004456,               0.004456,               0.004456
                    171,                 1.4586,                0.61465,                0.98555,                 1.7316,                0.63632,                0.95874,                0.90337,                0.88228,                0.92497,                0.46889,                 1.5862,                0.61301,                0.99954,                 1.7451,                0.59101,                0.99558,               0.004423,               0.004423,               0.004423
                    172,                 1.4584,                0.61629,                0.98356,                 1.7328,                0.63876,                0.95476,                0.90394,                0.88258,                0.92566,                0.46834,                 1.5895,                0.61347,                 1.0011,                 1.7479,                0.59072,                0.99674,                0.00439,                0.00439,                0.00439
                    173,                  1.459,                0.61755,                0.98279,                 1.7353,                0.63732,                0.95485,                0.90333,                 0.8802,                0.92446,                  0.467,                 1.5942,                0.61496,                  1.003,                 1.7519,                0.59289,                0.99867,               0.004357,               0.004357,               0.004357
                    174,                 1.4554,                0.61282,                0.98459,                 1.7224,                0.62973,                0.95806,                0.90391,                0.88199,                0.92506,                0.46663,                 1.5938,                0.61419,                 1.0031,                 1.7523,                0.59101,                0.99876,               0.004324,               0.004324,               0.004324
                    175,                 1.4531,                0.61262,                0.98529,                 1.7167,                0.62989,                0.95703,                0.90498,                0.87954,                0.92453,                0.46708,                 1.5903,                0.61249,                 1.0029,                 1.7479,                0.59046,                0.99794,               0.004291,               0.004291,               0.004291
                    176,                 1.4565,                0.61012,                0.98106,                 1.7234,                 0.6287,                0.95407,                0.90391,                0.87971,                0.92498,                0.46796,                 1.5874,                0.61168,                 1.0019,                 1.7457,                0.59028,                0.99694,               0.004258,               0.004258,               0.004258
                    177,                  1.452,                0.61416,                0.98171,                 1.7181,                0.63179,                 0.9552,                0.90435,                0.88008,                0.92548,                0.46858,                 1.5843,                0.61123,                 1.0009,                 1.7417,                0.58943,                0.99559,               0.004225,               0.004225,               0.004225
                    178,                 1.4572,                 0.6136,                0.98076,                 1.7346,                0.63549,                0.95332,                0.90354,                0.88168,                0.92572,                 0.4689,                 1.5828,                 0.6102,                      1,                 1.7414,                0.58735,                 0.9952,               0.004192,               0.004192,               0.004192
                    179,                 1.4485,                0.61341,                0.98155,                 1.7176,                0.62796,                0.95502,                0.90233,                0.88143,                0.92604,                0.46749,                  1.589,                0.61181,                 1.0019,                 1.7476,                0.58918,                0.99645,               0.004159,               0.004159,               0.004159
                    180,                  1.441,                0.60712,                0.97769,                 1.7147,                0.62641,                0.95189,                0.90127,                 0.8807,                0.92476,                0.46645,                 1.5941,                0.61248,                 1.0034,                 1.7525,                0.59196,                0.99791,               0.004126,               0.004126,               0.004126
                    181,                 1.4479,                0.60872,                0.98132,                   1.71,                0.62626,                0.95581,                0.90322,                0.88007,                0.92479,                0.46671,                 1.5918,                0.61242,                 1.0019,                  1.751,                0.59051,                0.99639,               0.004093,               0.004093,               0.004093
                    182,                 1.4586,                0.61315,                0.97913,                 1.7272,                0.62908,                  0.954,                0.90009,                0.88135,                0.92386,                0.46534,                 1.5956,                0.61261,                 1.0029,                 1.7555,                0.59258,                0.99745,                0.00406,                0.00406,                0.00406
                    183,                 1.4558,                0.61229,                0.97661,                 1.7224,                0.62859,                0.95204,                0.89981,                 0.8834,                0.92397,                0.46632,                 1.5911,                0.61131,                 1.0012,                 1.7511,                0.59111,                0.99581,               0.004027,               0.004027,               0.004027
                    184,                  1.454,                0.60957,                0.98145,                  1.722,                0.62426,                0.95499,                0.90133,                0.88242,                0.92425,                0.46742,                 1.5884,                0.61057,                0.99997,                 1.7481,                0.59073,                0.99477,               0.003994,               0.003994,               0.003994
                    185,                 1.4483,                0.60824,                0.97395,                 1.7203,                0.62715,                0.94882,                0.89982,                0.88424,                0.92443,                0.46763,                  1.587,                0.60999,                0.99953,                 1.7467,                0.58918,                0.99469,               0.003961,               0.003961,               0.003961
                    186,                 1.4535,                0.60719,                0.97386,                 1.7266,                0.62527,                0.94807,                0.89934,                0.88614,                0.92478,                0.46893,                 1.5826,                 0.6086,                 0.9982,                 1.7413,                0.58746,                 0.9933,               0.003928,               0.003928,               0.003928
                    187,                 1.4444,                  0.606,                0.97803,                 1.7165,                0.62563,                0.95347,                0.90188,                0.88344,                0.92457,                0.46879,                 1.5807,                0.60831,                0.99773,                 1.7392,                0.58674,                0.99289,               0.003895,               0.003895,               0.003895
                    188,                 1.4444,                0.60323,                  0.976,                 1.7194,                0.62357,                0.94907,                0.90131,                0.88492,                0.92548,                0.46958,                   1.58,                0.60836,                0.99736,                 1.7375,                0.58672,                0.99221,               0.003862,               0.003862,               0.003862
                    189,                 1.4416,                0.60687,                0.97918,                 1.7102,                0.62715,                0.95424,                0.90195,                0.88406,                0.92589,                0.46926,                 1.5806,                0.60884,                0.99768,                 1.7372,                0.58685,                0.99243,               0.003829,               0.003829,               0.003829
                    190,                 1.4577,                0.60886,                0.97772,                  1.735,                0.62657,                0.95034,                0.90291,                0.88265,                0.92579,                0.46972,                 1.5847,                0.60988,                0.99921,                 1.7412,                0.58667,                0.99401,               0.003796,               0.003796,               0.003796
                    191,                 1.4393,                0.60456,                0.97816,                 1.7146,                0.62298,                0.95246,                0.90177,                0.88221,                0.92561,                0.46911,                 1.5857,                0.61057,                0.99949,                  1.742,                0.58792,                0.99396,               0.003763,               0.003763,               0.003763
                    192,                 1.4371,                0.60177,                0.97771,                 1.7146,                0.62285,                0.95149,                0.90247,                0.88091,                0.92538,                0.46928,                 1.5834,                0.60991,                0.99915,                  1.739,                0.58834,                0.99352,                0.00373,                0.00373,                0.00373
                    193,                 1.4406,                0.60189,                0.97742,                 1.7153,                0.62324,                0.95282,                  0.902,                0.88328,                0.92573,                0.46971,                 1.5819,                0.60983,                 0.9987,                 1.7366,                0.58785,                0.99269,               0.003697,               0.003697,               0.003697
                    194,                 1.4393,                0.60345,                0.97652,                  1.717,                0.62376,                0.95227,                 0.9025,                0.88209,                0.92502,                0.46871,                 1.5827,                0.61025,                 0.9987,                 1.7378,                0.58862,                0.99291,               0.003664,               0.003664,               0.003664
                    195,                  1.439,                0.60059,                0.97417,                 1.7106,                0.62148,                0.94939,                0.90222,                0.88294,                0.92521,                0.46933,                 1.5833,                0.60982,                0.99918,                 1.7384,                 0.5872,                 0.9932,               0.003631,               0.003631,               0.003631
                    196,                 1.4404,                0.60215,                 0.9761,                 1.7151,                0.62459,                0.95078,                0.90332,                0.88141,                0.92544,                 0.4694,                 1.5827,                0.60979,                0.99898,                 1.7365,                0.58814,                0.99281,               0.003598,               0.003598,               0.003598
                    197,                 1.4299,                0.60121,                0.97569,                 1.7018,                0.61987,                0.95194,                0.90347,                0.88168,                0.92557,                0.47022,                 1.5818,                0.60951,                0.99847,                 1.7345,                0.58821,                0.99213,               0.003565,               0.003565,               0.003565
                    198,                 1.4378,                0.60438,                0.97506,                  1.713,                0.62835,                0.94891,                0.90272,                0.88266,                0.92594,                0.47057,                 1.5821,                0.60917,                0.99853,                 1.7354,                0.58683,                0.99196,               0.003532,               0.003532,               0.003532
                    199,                 1.4322,                0.59905,                0.97406,                 1.7067,                0.61763,                0.94887,                0.90282,                 0.8825,                0.92551,                0.46933,                 1.5843,                0.60963,                0.99924,                 1.7387,                0.58787,                0.99265,               0.003499,               0.003499,               0.003499
                    200,                 1.4313,                0.59813,                0.97548,                  1.706,                0.61685,                0.95198,                0.90372,                0.88083,                0.92518,                0.46883,                 1.5845,                0.60954,                0.99914,                 1.7388,                0.58884,                 0.9928,               0.003466,               0.003466,               0.003466
                    201,                 1.4395,                0.59871,                0.97187,                 1.7128,                0.61858,                0.94715,                0.90186,                0.88349,                0.92568,                0.46852,                 1.5862,                 0.6095,                0.99944,                 1.7409,                0.58754,                0.99334,               0.003433,               0.003433,               0.003433
                    202,                  1.433,                0.59943,                0.97452,                 1.7058,                0.61828,                0.95038,                0.90291,                0.88279,                0.92547,                 0.4679,                 1.5879,                0.61021,                      1,                 1.7428,                 0.5876,                0.99462,                 0.0034,                 0.0034,                 0.0034
                    203,                 1.4315,                0.60037,                0.97132,                 1.7055,                0.62138,                0.94579,                0.90393,                0.88246,                0.92562,                 0.4683,                 1.5877,                0.61006,                 1.0001,                 1.7429,                0.58722,                  0.994,               0.003367,               0.003367,               0.003367
                    204,                 1.4321,                0.59681,                0.97149,                 1.7082,                0.61537,                0.94835,                0.90391,                0.88238,                0.92539,                0.46846,                 1.5875,                0.60983,                0.99996,                 1.7429,                0.58663,                0.99411,               0.003334,               0.003334,               0.003334
                    205,                  1.436,                0.59737,                0.97131,                 1.7119,                0.61759,                0.94777,                0.90474,                0.88313,                0.92571,                0.46868,                 1.5858,                0.60919,                0.99974,                 1.7405,                0.58606,                0.99403,               0.003301,               0.003301,               0.003301
